transaction_id,order_id,customer_id,transaction_date,transaction_type,amount,payment_method,merchant
txn000027,4634,886,2024-10-20 00:00:00,exchange,1564.47,google_pay,Best Buy
txn000028,162,954,2024-08-13 00:00:00,purchase,872.5,debit_card,Walmart
txn000029,3082,278,2024-03-15 00:00:00,refund,1498.36,google_pay,Walmart
txn000030,42,419,2024-12-31 00:00:00,purchase,4021.62,debit_card,Best Buy
txn000031,1585,308,2023-09-22 00:00:00,purchase,3874.86,paypal,Best Buy
txn000032,3040,328,2024-10-15 00:00:00,purchase,2074.35,debit_card,eBay
txn000033,2981,330,2023-09-29 00:00:00,purchase,1739.84,paypal,Target
txn000034,4989,706,2024-07-31 00:00:00,exchange,587.74,apple_pay,Amazon
txn000035,2926,811,2024-11-20 00:00:00,exchange,1586.05,google_pay,eBay
txn000036,4976,862,2024-03-03 00:00:00,exchange,2064.68,credit_card,Amazon
txn000037,973,418,2023-09-06 00:00:00,refund,238.16,debit_card,Target
txn000038,661,640,2024-06-13 00:00:00,refund,1097.49,paypal,Amazon
txn000039,3326,948,2024-08-05 00:00:00,purchase,117.96,apple_pay,Best Buy
txn000040,1044,325,2024-10-15 00:00:00,purchase,2249.3,debit_card,Amazon
txn000041,371,262,2024-04-01 00:00:00,refund,412.49,credit_card,Best Buy
txn000042,2184,829,2024-09-10 00:00:00,refund,50.95,credit_card,Best Buy
txn000043,2705,790,2024-10-30 00:00:00,purchase,1374.7,google_pay,Target
txn000044,4060,376,2024-06-09 00:00:00,purchase,3614.06,credit_card,Best Buy
txn000045,4201,194,2024-06-28 00:00:00,purchase,723.48,google_pay,eBay
txn000046,1754,438,2024-11-01 00:00:00,refund,260.97,credit_card,eBay
txn000047,2984,58,2024-12-17 00:00:00,refund,3569.7,credit_card,eBay
txn000048,4056,268,2023-12-12 00:00:00,refund,1007.41,credit_card,Best Buy
txn000049,3614,563,2024-07-09 00:00:00,purchase,4360.01,debit_card,Amazon
txn000050,2482,65,2024-08-23 00:00:00,exchange,297.1,credit_card,eBay
txn000051,449,221,2024-07-20 00:00:00,refund,128.44,credit_card,eBay
txn000052,933,967,2024-07-22 00:00:00,exchange,627.44,paypal,Amazon
txn000053,326,331,2024-02-08 00:00:00,exchange,1293.02,apple_pay,Target
txn000054,215,237,2024-12-29 00:00:00,exchange,751.0,google_pay,eBay
txn000055,761,911,2024-03-01 00:00:00,refund,423.43,credit_card,Target
txn000056,1727,771,2024-04-13 00:00:00,purchase,3087.07,google_pay,Amazon
txn000057,4173,808,2024-10-13 00:00:00,refund,3605.65,paypal,Target
txn000058,2718,530,2024-09-02 00:00:00,refund,934.49,credit_card,Best Buy
txn000059,611,250,2024-04-23 00:00:00,exchange,240.08,google_pay,Amazon
txn000060,706,579,2023-09-19 00:00:00,purchase,3704.52,paypal,Walmart
txn000061,160,348,2023-09-02 00:00:00,purchase,389.46,apple_pay,Amazon
txn000062,857,731,2024-11-25 00:00:00,purchase,2447.8,google_pay,Walmart
txn000063,3643,966,2024-12-13 00:00:00,exchange,1390.88,paypal,Target
txn000064,671,422,2024-01-21 00:00:00,exchange,2459.44,debit_card,Target
txn000065,3374,716,2024-11-01 00:00:00,refund,1333.32,paypal,Walmart
txn000066,4998,103,2024-08-09 00:00:00,refund,895.47,apple_pay,Walmart
txn000067,2528,137,2024-06-12 00:00:00,exchange,1584.42,apple_pay,Amazon
txn000068,1855,280,2024-05-20 00:00:00,refund,318.63,apple_pay,Target
txn000069,4607,801,2024-04-18 00:00:00,exchange,2701.65,paypal,Walmart
txn000070,4588,983,2023-12-25 00:00:00,exchange,204.33,google_pay,Best Buy
txn000071,4068,786,2024-01-03 00:00:00,exchange,367.11,google_pay,eBay
txn000072,4052,237,2023-04-28 00:00:00,purchase,2313.37,apple_pay,Walmart
txn000073,4421,505,2024-08-20 00:00:00,exchange,2110.65,google_pay,eBay
txn000074,4605,92,2024-08-17 00:00:00,refund,1254.17,debit_card,Walmart
txn000075,3603,662,2024-02-01 00:00:00,refund,1282.5,paypal,Walmart
txn000076,812,184,2024-02-25 00:00:00,refund,23.75,debit_card,Best Buy
txn000077,1701,648,2023-03-03 00:00:00,refund,1786.53,paypal,Target
txn000078,3106,125,2024-12-30 00:00:00,refund,221.93,credit_card,eBay
txn000079,4053,510,2024-09-25 00:00:00,refund,840.07,apple_pay,eBay
txn000080,4424,146,2024-12-15 00:00:00,exchange,334.67,apple_pay,Walmart
txn000081,589,160,2024-08-17 00:00:00,refund,1447.27,credit_card,Target
txn000082,2000,537,2024-12-08 00:00:00,exchange,2973.02,apple_pay,eBay
txn000083,3363,501,2024-06-20 00:00:00,refund,364.94,paypal,Walmart
txn000084,4441,418,2024-09-06 00:00:00,refund,1187.5,apple_pay,Amazon
txn000085,4009,401,2024-10-21 00:00:00,exchange,4904.77,google_pay,eBay
txn000086,2672,133,2024-04-15 00:00:00,purchase,588.63,apple_pay,eBay
txn000087,3684,474,2024-11-16 00:00:00,exchange,99.37,apple_pay,Walmart
txn000088,1184,891,2024-12-27 00:00:00,exchange,4542.54,credit_card,Walmart
txn000089,4239,512,2024-12-28 00:00:00,refund,3572.24,credit_card,Amazon
txn000090,3739,372,2023-11-18 00:00:00,purchase,1826.58,credit_card,Best Buy
txn000091,1911,339,2024-09-04 00:00:00,exchange,772.61,debit_card,Target
txn000092,4010,253,2023-08-10 00:00:00,purchase,352.25,apple_pay,eBay
txn000093,2835,16,2024-07-20 00:00:00,purchase,47.04,apple_pay,eBay
txn000094,1339,83,2024-10-04 00:00:00,purchase,2722.33,google_pay,eBay
txn000095,2290,792,2023-12-20 00:00:00,purchase,146.67,apple_pay,Walmart
txn000096,751,267,2024-08-02 00:00:00,exchange,2135.87,paypal,Walmart
txn000097,4460,405,2024-06-25 00:00:00,exchange,3192.25,credit_card,Walmart
txn000098,2743,838,2024-10-17 00:00:00,refund,1080.55,google_pay,Amazon
txn000099,4320,350,2024-07-21 00:00:00,exchange,330.93,credit_card,Best Buy
txn000100,2455,845,2024-09-10 00:00:00,exchange,638.71,apple_pay,Best Buy
txn000101,2260,723,2023-08-06 00:00:00,refund,356.53,credit_card,Target
txn000102,446,472,2024-12-16 00:00:00,exchange,480.29,paypal,Amazon
txn000103,4894,308,2023-10-29 00:00:00,exchange,194.69,google_pay,Best Buy
txn000104,3835,928,2024-07-31 00:00:00,refund,992.48,credit_card,Best Buy
txn000105,1608,638,2024-12-19 00:00:00,exchange,118.71,paypal,Amazon
txn000106,316,37,2024-11-24 00:00:00,refund,1460.74,google_pay,Amazon
txn000107,2771,410,2024-04-15 00:00:00,exchange,718.06,credit_card,Amazon
txn000108,1209,183,2024-05-29 00:00:00,purchase,2798.3,paypal,Amazon
txn000109,2136,992,2023-10-28 00:00:00,purchase,1613.91,paypal,Target
txn000110,450,798,2024-11-25 00:00:00,refund,2041.17,paypal,Walmart
txn000111,1930,299,2023-11-02 00:00:00,purchase,1825.11,paypal,Target
txn000112,2278,190,2024-11-06 00:00:00,refund,62.89,paypal,Walmart
txn000113,1590,585,2024-11-21 00:00:00,purchase,3600.66,debit_card,Walmart
txn000114,3583,979,2024-07-31 00:00:00,purchase,527.68,apple_pay,Best Buy
txn000115,1107,471,2024-02-26 00:00:00,refund,301.73,apple_pay,Target
txn000116,3004,73,2024-08-29 00:00:00,purchase,291.31,paypal,Best Buy
txn000117,2430,2,2024-12-19 00:00:00,refund,2767.63,apple_pay,eBay
txn000118,435,385,2024-12-16 00:00:00,exchange,1444.9,debit_card,Best Buy
txn000119,1856,3,2024-01-20 00:00:00,purchase,2858.19,debit_card,Walmart
txn000120,188,846,2024-09-20 00:00:00,exchange,2900.36,credit_card,Target
txn000121,4121,808,2024-10-31 00:00:00,purchase,2800.25,debit_card,Amazon
txn000122,1762,688,2024-10-20 00:00:00,exchange,1310.78,debit_card,Target
txn000123,2554,142,2024-10-03 00:00:00,refund,3466.84,paypal,eBay
txn000124,3124,914,2024-12-29 00:00:00,purchase,2069.75,paypal,eBay
txn000125,3906,83,2023-11-19 00:00:00,refund,199.65,google_pay,Target
txn000126,2827,457,2024-09-28 00:00:00,purchase,965.86,paypal,Target
txn000127,591,687,2024-12-20 00:00:00,refund,324.76,debit_card,Target
txn000128,4973,873,2023-09-22 00:00:00,exchange,220.49,credit_card,eBay
txn000129,3502,30,2024-10-20 00:00:00,exchange,3338.9,debit_card,Walmart
txn000130,4581,965,2024-10-13 00:00:00,refund,2379.79,paypal,Amazon
txn000131,3975,489,2024-10-12 00:00:00,refund,729.74,google_pay,Target
txn000132,163,70,2024-06-17 00:00:00,exchange,379.23,apple_pay,Target
txn000133,1513,148,2024-12-06 00:00:00,refund,2008.05,debit_card,Walmart
txn000134,1377,992,2024-07-14 00:00:00,exchange,159.38,paypal,eBay
txn000135,4347,164,2024-06-12 00:00:00,purchase,723.95,paypal,Walmart
txn000136,463,267,2024-10-25 00:00:00,refund,2139.03,paypal,eBay
txn000137,934,417,2023-11-06 00:00:00,exchange,395.14,google_pay,Target
txn000138,3451,157,2024-11-23 00:00:00,exchange,374.03,debit_card,Amazon
txn000139,83,866,2024-05-13 00:00:00,purchase,1289.6,credit_card,Walmart
txn000140,1051,397,2024-05-21 00:00:00,exchange,3284.89,debit_card,Target
txn000141,4624,263,2024-12-26 00:00:00,refund,1621.2,debit_card,eBay
txn000142,498,642,2024-12-01 00:00:00,refund,266.56,credit_card,eBay
txn000143,2973,284,2023-07-11 00:00:00,purchase,552.37,google_pay,Target
txn000144,3537,268,2024-03-16 00:00:00,purchase,986.22,credit_card,Walmart
txn000145,3791,498,2024-09-24 00:00:00,exchange,2798.14,paypal,Target
txn000146,4538,30,2024-11-16 00:00:00,exchange,3513.93,apple_pay,Target
txn000147,4417,419,2024-05-27 00:00:00,exchange,432.85,debit_card,Target
txn000148,4200,175,2023-05-14 00:00:00,refund,294.51,paypal,eBay
txn000149,2912,795,2024-08-24 00:00:00,purchase,678.87,credit_card,Walmart
txn000150,3918,524,2023-10-31 00:00:00,purchase,2290.13,google_pay,Walmart
txn000151,2177,664,2024-08-21 00:00:00,exchange,536.94,apple_pay,eBay
txn000152,4243,301,2024-10-13 00:00:00,exchange,1194.88,credit_card,eBay
txn000153,3997,397,2024-05-04 00:00:00,purchase,238.98,paypal,Best Buy
txn000154,3441,52,2023-12-26 00:00:00,refund,264.74,debit_card,eBay
txn000155,2184,829,2024-12-23 00:00:00,refund,54.87,credit_card,Walmart
txn000156,4140,607,2023-09-27 00:00:00,purchase,561.25,credit_card,Target
txn000157,1335,740,2024-10-04 00:00:00,exchange,2370.11,apple_pay,Target
txn000158,4724,383,2024-05-19 00:00:00,refund,2393.78,paypal,Target
txn000159,864,534,2024-12-23 00:00:00,refund,1162.8,credit_card,Amazon
txn000160,3048,225,2024-08-28 00:00:00,exchange,1253.83,paypal,Target
txn000161,1370,648,2024-12-25 00:00:00,purchase,161.75,debit_card,Best Buy
txn000162,4050,545,2024-01-01 00:00:00,purchase,794.75,apple_pay,Best Buy
txn000163,4775,670,2024-10-31 00:00:00,exchange,3910.72,credit_card,Best Buy
txn000164,2824,832,2024-12-05 00:00:00,refund,235.92,credit_card,Target
txn000165,1512,839,2024-05-26 00:00:00,exchange,1486.69,credit_card,Best Buy
txn000166,745,845,2023-05-19 00:00:00,exchange,1792.71,debit_card,Target
txn000167,561,580,2024-03-09 00:00:00,exchange,410.1,apple_pay,Target
txn000168,1606,458,2024-03-05 00:00:00,exchange,2453.09,debit_card,Target
txn000169,3365,791,2024-02-08 00:00:00,purchase,4090.77,paypal,Walmart
txn000170,923,816,2024-12-21 00:00:00,purchase,155.6,apple_pay,Best Buy
txn000171,3759,294,2024-09-01 00:00:00,purchase,348.25,paypal,Best Buy
txn000172,2064,372,2024-07-16 00:00:00,purchase,522.97,credit_card,Target
txn000173,3674,825,2023-12-22 00:00:00,refund,978.53,debit_card,Walmart
txn000174,3479,624,2024-12-18 00:00:00,refund,1869.82,google_pay,Target
txn000175,1846,799,2024-07-02 00:00:00,purchase,593.76,google_pay,Amazon
txn000176,4521,209,2024-12-27 00:00:00,refund,164.42,credit_card,Target
txn000177,829,13,2023-11-10 00:00:00,refund,452.3,credit_card,Target
txn000178,4514,8,2023-09-22 00:00:00,purchase,106.12,credit_card,Walmart
txn000179,1241,589,2024-10-22 00:00:00,purchase,2565.46,credit_card,Walmart
txn000180,297,795,2023-10-30 00:00:00,purchase,1592.75,credit_card,eBay
txn000181,283,919,2023-06-14 00:00:00,refund,2005.43,paypal,Best Buy
txn000182,2888,115,2023-11-11 00:00:00,refund,4789.74,paypal,Walmart
txn000183,1379,390,2024-04-03 00:00:00,refund,517.2,google_pay,eBay
txn000184,3080,301,2024-12-14 00:00:00,purchase,3393.4,credit_card,Best Buy
txn000185,4005,15,2024-09-22 00:00:00,purchase,2721.13,apple_pay,Best Buy
txn000186,705,670,2024-12-22 00:00:00,purchase,1685.67,debit_card,Target
txn000187,3115,449,2024-04-01 00:00:00,refund,357.68,google_pay,Walmart
txn000188,2997,260,2024-06-27 00:00:00,purchase,705.18,paypal,Walmart
txn000189,1866,588,2024-12-20 00:00:00,purchase,2174.54,google_pay,Best Buy
txn000190,3072,385,2024-12-18 00:00:00,exchange,629.16,debit_card,Best Buy
txn000191,4391,910,2024-05-29 00:00:00,purchase,424.17,debit_card,Amazon
txn000192,366,65,2024-10-08 00:00:00,purchase,722.25,google_pay,Walmart
txn000193,210,12,2024-11-06 00:00:00,purchase,1931.1,apple_pay,Target
txn000194,4823,137,2024-10-24 00:00:00,exchange,1208.19,paypal,eBay
txn000195,1104,382,2024-11-25 00:00:00,exchange,3503.83,paypal,Walmart
txn000196,2205,891,2023-11-20 00:00:00,exchange,210.14,debit_card,Best Buy
txn000197,1560,309,2024-11-30 00:00:00,exchange,3810.02,debit_card,Target
txn000198,2618,201,2024-04-22 00:00:00,exchange,703.25,credit_card,Target
txn000199,1831,221,2024-04-22 00:00:00,purchase,300.11,credit_card,eBay
txn000200,4163,702,2023-10-02 00:00:00,purchase,1612.95,apple_pay,Walmart
txn000201,3644,42,2024-11-24 00:00:00,purchase,413.34,debit_card,Target
txn000202,4835,242,2023-09-09 00:00:00,refund,844.38,apple_pay,Walmart
txn000203,3232,230,2024-03-06 00:00:00,refund,26.28,debit_card,eBay
txn000204,4737,778,2024-07-10 00:00:00,purchase,501.48,google_pay,Amazon
txn000205,4896,376,2024-12-28 00:00:00,refund,2495.09,paypal,Walmart
txn000206,3776,311,2024-11-16 00:00:00,exchange,1238.48,google_pay,Amazon
txn000207,3773,218,2024-09-21 00:00:00,purchase,1533.54,credit_card,Walmart
txn000208,4436,632,2024-10-05 00:00:00,exchange,110.95,debit_card,Walmart
txn000209,2477,324,2024-09-04 00:00:00,refund,3229.34,debit_card,Target
txn000210,3767,465,2023-07-28 00:00:00,purchase,960.9,credit_card,Best Buy
txn000211,2232,537,2024-10-07 00:00:00,purchase,691.21,google_pay,eBay
txn000212,2101,2,2024-08-06 00:00:00,refund,469.09,google_pay,Walmart
txn000213,2156,617,2024-05-21 00:00:00,refund,281.58,credit_card,Target
txn000214,3274,541,2024-03-03 00:00:00,exchange,2214.54,credit_card,Walmart
txn000215,4852,836,2023-04-17 00:00:00,purchase,244.23,paypal,eBay
txn000216,3289,343,2024-11-22 00:00:00,exchange,634.78,credit_card,eBay
txn000217,16,973,2024-12-22 00:00:00,refund,1973.42,credit_card,Walmart
txn000218,191,876,2024-08-09 00:00:00,purchase,3702.42,google_pay,Best Buy
txn000219,879,959,2024-08-31 00:00:00,exchange,1831.16,google_pay,eBay
txn000220,2561,902,2024-11-03 00:00:00,purchase,1915.64,apple_pay,Walmart
txn000221,2180,94,2023-06-07 00:00:00,exchange,4320.18,google_pay,Best Buy
txn000222,3503,930,2024-12-25 00:00:00,refund,439.99,google_pay,Target
txn000223,3741,667,2023-05-16 00:00:00,refund,98.16,debit_card,Walmart
txn000224,2161,86,2024-12-18 00:00:00,purchase,982.46,debit_card,Walmart
txn000225,861,333,2024-12-21 00:00:00,exchange,3535.95,credit_card,Walmart
txn000226,4539,468,2024-11-26 00:00:00,exchange,729.82,paypal,Walmart
txn000227,1384,848,2024-10-02 00:00:00,exchange,441.92,credit_card,Best Buy
txn000228,1793,554,2024-02-22 00:00:00,purchase,1999.36,credit_card,eBay
txn000229,3802,147,2024-05-12 00:00:00,purchase,4272.57,debit_card,Amazon
txn000230,165,900,2024-12-23 00:00:00,exchange,1817.72,apple_pay,Best Buy
txn000231,4044,946,2023-10-25 00:00:00,purchase,3266.14,google_pay,Amazon
txn000232,3634,786,2024-12-26 00:00:00,purchase,799.58,paypal,eBay
txn000233,1664,730,2024-12-07 00:00:00,purchase,670.96,apple_pay,eBay
txn000234,4351,901,2024-11-17 00:00:00,exchange,37.89,google_pay,Amazon
txn000235,4734,748,2023-05-20 00:00:00,refund,2210.0,debit_card,Walmart
txn000236,3306,875,2024-12-31 00:00:00,purchase,1943.74,google_pay,Amazon
txn000237,2287,730,2024-11-03 00:00:00,purchase,1743.36,apple_pay,Amazon
txn000238,3405,118,2024-06-22 00:00:00,refund,1853.22,paypal,Walmart
txn000239,2392,555,2024-12-14 00:00:00,purchase,3918.73,debit_card,Walmart
txn000240,2699,760,2024-11-05 00:00:00,refund,1918.14,google_pay,Walmart
txn000241,4412,700,2023-09-27 00:00:00,refund,854.69,apple_pay,eBay
txn000242,1983,694,2024-06-04 00:00:00,exchange,347.45,credit_card,eBay
txn000243,2633,872,2024-06-30 00:00:00,purchase,2816.38,paypal,Target
txn000244,98,620,2024-11-24 00:00:00,refund,553.17,paypal,Walmart
txn000245,644,971,2023-11-28 00:00:00,purchase,2808.28,paypal,Walmart
txn000246,1765,375,2024-12-15 00:00:00,exchange,244.19,credit_card,eBay
txn000247,1198,485,2024-11-14 00:00:00,exchange,3088.08,paypal,Best Buy
txn000248,627,319,2024-12-10 00:00:00,purchase,4636.06,apple_pay,Amazon
txn000249,607,446,2024-10-17 00:00:00,refund,2674.32,apple_pay,Target
txn000250,2420,162,2024-01-06 00:00:00,purchase,367.27,paypal,Walmart
txn000251,2062,600,2024-11-21 00:00:00,exchange,1171.07,paypal,Best Buy
txn000252,2676,877,2024-06-12 00:00:00,purchase,540.18,credit_card,Best Buy
txn000253,1719,721,2024-06-18 00:00:00,purchase,393.25,debit_card,eBay
txn000254,3611,767,2024-09-14 00:00:00,exchange,4601.34,paypal,eBay
txn000255,3544,791,2024-10-21 00:00:00,exchange,504.47,google_pay,Best Buy
txn000256,2816,963,2024-05-19 00:00:00,exchange,1666.09,apple_pay,Best Buy
txn000257,4468,111,2023-12-17 00:00:00,purchase,1733.08,credit_card,eBay
txn000258,1342,749,2024-02-24 00:00:00,refund,2992.28,credit_card,Best Buy
txn000259,2631,377,2024-11-13 00:00:00,purchase,49.22,paypal,Best Buy
txn000260,2136,992,2023-10-20 00:00:00,exchange,2384.85,credit_card,Walmart
txn000261,935,539,2023-12-27 00:00:00,refund,1270.52,apple_pay,Best Buy
txn000262,4894,308,2024-05-23 00:00:00,purchase,202.85,apple_pay,eBay
txn000263,3327,852,2024-03-07 00:00:00,purchase,717.04,paypal,Best Buy
txn000264,3292,304,2024-11-14 00:00:00,refund,2834.98,debit_card,Target
txn000265,1369,954,2024-12-03 00:00:00,purchase,2197.5,paypal,Best Buy
txn000266,2450,173,2024-12-27 00:00:00,refund,216.56,credit_card,Walmart
txn000267,2305,599,2024-07-16 00:00:00,purchase,2544.05,apple_pay,Best Buy
txn000268,4219,310,2024-10-03 00:00:00,exchange,4059.91,paypal,Target
txn000269,4249,136,2024-09-28 00:00:00,purchase,1805.77,google_pay,Target
txn000270,835,665,2024-11-07 00:00:00,refund,1324.54,debit_card,Target
txn000271,251,453,2024-12-03 00:00:00,refund,371.38,credit_card,Best Buy
txn000272,4337,761,2024-09-16 00:00:00,exchange,3505.22,paypal,Walmart
txn000273,3010,159,2024-07-13 00:00:00,refund,847.99,credit_card,eBay
txn000274,118,385,2024-11-16 00:00:00,refund,486.31,apple_pay,eBay
txn000275,2592,959,2024-02-18 00:00:00,exchange,461.47,paypal,Amazon
txn000276,1015,225,2024-12-28 00:00:00,refund,3525.02,paypal,Amazon
txn000277,70,213,2024-11-29 00:00:00,refund,2987.3,google_pay,Amazon
txn000278,1957,84,2023-10-09 00:00:00,refund,899.61,debit_card,Best Buy
txn000279,2595,860,2024-06-29 00:00:00,exchange,786.54,debit_card,eBay
txn000280,4064,724,2024-04-03 00:00:00,purchase,484.78,credit_card,Target
txn000281,3466,211,2024-02-10 00:00:00,exchange,1975.24,google_pay,Amazon
txn000282,2529,263,2024-07-18 00:00:00,refund,2468.75,paypal,Amazon
txn000283,303,518,2024-11-11 00:00:00,purchase,1142.48,paypal,Target
txn000284,554,519,2024-01-29 00:00:00,refund,3902.91,apple_pay,Target
txn000285,3539,601,2024-12-31 00:00:00,exchange,889.57,apple_pay,Target
txn000286,4954,751,2024-08-01 00:00:00,purchase,307.54,debit_card,Best Buy
txn000287,4579,80,2024-03-31 00:00:00,refund,449.72,debit_card,Walmart
txn000288,389,854,2024-11-06 00:00:00,refund,70.41,credit_card,Best Buy
txn000289,2132,823,2024-07-01 00:00:00,refund,1318.82,apple_pay,Target
txn000290,517,827,2023-12-29 00:00:00,purchase,2465.36,google_pay,Walmart
txn000291,3438,499,2024-12-14 00:00:00,purchase,124.49,debit_card,Best Buy
txn000292,1064,201,2024-12-18 00:00:00,purchase,260.51,credit_card,eBay
txn000293,2223,966,2024-10-24 00:00:00,purchase,4151.49,credit_card,Target
txn000294,3219,310,2024-09-30 00:00:00,purchase,697.14,debit_card,Walmart
txn000295,4673,997,2024-10-10 00:00:00,refund,203.54,google_pay,Target
txn000296,2528,137,2024-08-21 00:00:00,refund,2230.3,credit_card,eBay
txn000297,2429,747,2024-09-08 00:00:00,purchase,636.99,credit_card,Best Buy
txn000298,1376,947,2024-03-28 00:00:00,exchange,179.01,paypal,Amazon
txn000299,647,482,2023-11-14 00:00:00,purchase,1110.56,credit_card,Walmart
txn000300,1967,910,2024-07-21 00:00:00,purchase,2501.24,debit_card,eBay
txn000301,2942,232,2024-07-02 00:00:00,purchase,326.81,credit_card,Walmart
txn000302,2269,727,2024-11-09 00:00:00,exchange,2928.92,paypal,Target
txn000303,591,687,2024-11-17 00:00:00,refund,328.95,debit_card,Walmart
txn000304,1263,923,2024-12-15 00:00:00,refund,2117.2,apple_pay,Amazon
txn000305,2406,714,2024-12-01 00:00:00,purchase,1076.15,credit_card,eBay
txn000306,2096,846,2024-08-24 00:00:00,purchase,4109.65,paypal,eBay
txn000307,2525,831,2024-06-25 00:00:00,refund,361.24,google_pay,Best Buy
txn000308,4651,458,2024-10-06 00:00:00,refund,139.81,apple_pay,eBay
txn000309,1720,434,2024-07-09 00:00:00,exchange,3919.4,debit_card,eBay
txn000310,370,150,2024-08-23 00:00:00,purchase,635.8,google_pay,eBay
txn000311,1954,461,2024-03-02 00:00:00,refund,250.2,google_pay,Best Buy
txn000312,3613,112,2024-02-09 00:00:00,refund,2152.79,paypal,Best Buy
txn000313,4004,568,2024-10-03 00:00:00,purchase,1409.76,apple_pay,Target
txn000314,3642,442,2024-04-27 00:00:00,purchase,611.84,credit_card,Walmart
txn000315,4240,550,2024-11-25 00:00:00,purchase,2482.4,debit_card,Target
txn000316,1342,749,2023-10-21 00:00:00,purchase,3152.95,debit_card,Walmart
txn000317,1797,542,2024-09-18 00:00:00,exchange,3348.27,credit_card,Best Buy
txn000318,3285,518,2024-03-14 00:00:00,exchange,3745.26,google_pay,Target
txn000319,1412,90,2024-08-28 00:00:00,refund,380.35,google_pay,eBay
txn000320,3719,208,2024-09-17 00:00:00,purchase,744.37,apple_pay,Walmart
txn000321,595,531,2024-12-10 00:00:00,refund,400.23,credit_card,eBay
txn000322,3021,267,2024-08-13 00:00:00,purchase,415.05,debit_card,Amazon
txn000323,4158,737,2024-10-17 00:00:00,exchange,2651.52,paypal,Target
txn000324,2016,174,2024-11-25 00:00:00,purchase,1854.15,credit_card,Walmart
txn000325,3076,490,2023-04-30 00:00:00,exchange,2147.72,debit_card,Best Buy
txn000326,3427,293,2024-01-28 00:00:00,exchange,999.14,debit_card,Walmart
txn000327,4068,786,2024-04-13 00:00:00,purchase,475.19,google_pay,Best Buy
txn000328,992,469,2024-08-24 00:00:00,purchase,754.79,debit_card,Best Buy
txn000329,2060,519,2024-12-21 00:00:00,purchase,478.11,apple_pay,Amazon
txn000330,163,70,2024-05-16 00:00:00,refund,281.84,apple_pay,Target
txn000331,1199,328,2024-10-20 00:00:00,refund,1670.74,apple_pay,Amazon
txn000332,3909,359,2024-09-22 00:00:00,refund,2186.55,google_pay,Amazon
txn000333,948,973,2024-08-30 00:00:00,exchange,958.01,apple_pay,Target
txn000334,1282,450,2024-05-24 00:00:00,refund,4629.2,paypal,eBay
txn000335,2528,137,2024-04-05 00:00:00,exchange,2270.39,google_pay,eBay
txn000336,3858,63,2024-07-20 00:00:00,refund,486.11,paypal,Walmart
txn000337,4011,310,2024-11-08 00:00:00,refund,148.48,paypal,Best Buy
txn000338,1210,30,2023-11-19 00:00:00,exchange,2159.81,apple_pay,Walmart
txn000339,4863,323,2024-12-22 00:00:00,purchase,863.55,google_pay,Amazon
txn000340,3165,152,2024-06-07 00:00:00,purchase,1924.27,credit_card,Amazon
txn000341,4188,22,2024-07-28 00:00:00,refund,327.56,apple_pay,Walmart
txn000342,4259,942,2024-06-15 00:00:00,refund,267.24,paypal,eBay
txn000343,1267,138,2024-09-29 00:00:00,exchange,221.08,paypal,Amazon
