event_id,user_id,event_timestamp,event_type,page_url,session_id,region
evt000064,597,2023-10-30 00:00:00,pageview,/checkout,session_2770,north
evt000065,919,2024-01-04 00:00:00,purchase,/checkout,session_3219,south
evt000066,595,2023-09-22 00:00:00,pageview,/profile,session_4545,east
evt000067,64,2024-12-07 00:00:00,add_to_cart,/profile,session_3747,north
evt000068,815,2023-07-30 00:00:00,pageview,/cart,session_2429,north
evt000069,568,2024-05-15 00:00:00,search,/home,session_4869,south
evt000070,674,2024-06-17 00:00:00,pageview,/products,session_3229,east
evt000071,320,2023-02-01 00:00:00,add_to_cart,/home,session_4874,south
evt000072,846,2024-05-02 00:00:00,add_to_cart,/products,session_241,west
evt000073,118,2024-01-14 00:00:00,click,/checkout,session_2777,west
evt000074,144,2023-02-14 00:00:00,search,/products,session_3531,north
evt000075,593,2024-08-15 00:00:00,add_to_cart,/cart,session_613,west
evt000076,381,2024-04-14 00:00:00,add_to_cart,/cart,session_2040,west
evt000077,342,2024-07-21 00:00:00,login,/products,session_2157,east
evt000078,403,2024-10-02 00:00:00,click,/cart,session_1196,east
evt000079,215,2024-08-08 00:00:00,purchase,/products,session_2129,west
evt000080,722,2024-12-24 00:00:00,purchase,/home,session_3212,south
evt000081,77,2024-01-21 00:00:00,search,/home,session_229,north
evt000082,885,2023-06-19 00:00:00,login,/profile,session_415,north
evt000083,547,2024-08-16 00:00:00,add_to_cart,/home,session_4498,south
evt000084,555,2024-07-25 00:00:00,pageview,/home,session_329,south
evt000085,157,2024-05-14 00:00:00,add_to_cart,/home,session_1296,south
evt000086,623,2023-02-20 00:00:00,click,/home,session_3654,north
evt000087,252,2023-09-04 00:00:00,purchase,/profile,session_3559,east
evt000088,272,2024-09-25 00:00:00,click,/profile,session_627,east
evt000089,217,2023-08-22 00:00:00,add_to_cart,/profile,session_3292,north
evt000090,7,2023-11-18 00:00:00,purchase,/home,session_492,east
evt000091,237,2023-12-16 00:00:00,search,/profile,session_4356,north
evt000092,529,2023-12-08 00:00:00,click,/cart,session_3858,south
evt000093,854,2023-09-09 00:00:00,pageview,/cart,session_4667,east
evt000094,456,2024-10-16 00:00:00,click,/checkout,session_3869,north
evt000095,764,2023-08-01 00:00:00,search,/home,session_2533,west
evt000096,268,2023-02-16 00:00:00,purchase,/cart,session_4446,south
evt000097,639,2023-02-11 00:00:00,login,/checkout,session_4647,east
evt000098,748,2024-12-25 00:00:00,search,/cart,session_2261,east
evt000099,950,2023-08-04 00:00:00,add_to_cart,/profile,session_3998,south
evt000100,12,2024-08-14 00:00:00,search,/home,session_2338,west
evt000101,649,2023-12-17 00:00:00,add_to_cart,/profile,session_3188,west
evt000102,217,2023-01-06 00:00:00,purchase,/checkout,session_4385,north
evt000103,38,2024-07-05 00:00:00,search,/profile,session_4905,east
evt000104,824,2023-09-15 00:00:00,search,/products,session_4659,south
evt000105,760,2023-02-09 00:00:00,purchase,/profile,session_4671,east
evt000106,931,2024-02-10 00:00:00,click,/checkout,session_2098,west
evt000107,394,2023-12-30 00:00:00,add_to_cart,/profile,session_2085,west
evt000108,292,2023-01-01 00:00:00,click,/cart,session_2131,south
evt000109,90,2024-03-01 00:00:00,click,/home,session_4641,south
evt000110,155,2023-08-26 00:00:00,pageview,/products,session_286,east
evt000111,76,2023-11-21 00:00:00,login,/home,session_4901,south
evt000112,38,2024-03-28 00:00:00,search,/products,session_3343,east
evt000113,554,2024-06-02 00:00:00,click,/checkout,session_3010,south
evt000114,932,2023-06-07 00:00:00,search,/profile,session_4937,south
evt000115,317,2024-01-28 00:00:00,add_to_cart,/products,session_4802,east
evt000116,845,2024-02-08 00:00:00,login,/profile,session_1858,east
evt000117,235,2023-05-15 00:00:00,search,/products,session_3418,east
evt000118,248,2024-06-09 00:00:00,search,/products,session_1120,west
evt000119,732,2024-12-07 00:00:00,click,/profile,session_3101,north
evt000120,435,2024-06-16 00:00:00,click,/checkout,session_1425,west
evt000121,907,2024-07-06 00:00:00,add_to_cart,/checkout,session_1661,west
evt000122,448,2024-03-22 00:00:00,pageview,/profile,session_1496,south
evt000123,979,2024-06-08 00:00:00,pageview,/profile,session_2570,north
evt000124,939,2023-07-11 00:00:00,search,/checkout,session_1163,west
evt000125,991,2024-03-23 00:00:00,add_to_cart,/checkout,session_2203,south
evt000126,2,2023-07-05 00:00:00,click,/cart,session_231,south
evt000127,885,2024-05-04 00:00:00,search,/profile,session_1104,north
evt000128,939,2024-04-17 00:00:00,pageview,/products,session_3954,west
evt000129,973,2024-03-27 00:00:00,search,/profile,session_4878,north
evt000130,464,2024-04-02 00:00:00,pageview,/profile,session_4168,north
evt000131,479,2023-02-13 00:00:00,purchase,/products,session_4834,east
evt000132,160,2023-04-22 00:00:00,login,/home,session_2832,north
evt000133,217,2023-01-08 00:00:00,click,/products,session_801,north
evt000134,958,2024-02-03 00:00:00,purchase,/cart,session_3036,south
evt000135,10,2023-08-25 00:00:00,search,/products,session_4752,west
evt000136,978,2023-08-28 00:00:00,add_to_cart,/checkout,session_988,south
evt000137,664,2023-09-26 00:00:00,search,/products,session_1792,north
evt000138,451,2023-01-25 00:00:00,click,/home,session_1782,west
evt000139,547,2024-09-30 00:00:00,pageview,/home,session_2873,south
evt000140,518,2023-12-15 00:00:00,pageview,/products,session_4964,south
evt000141,481,2023-12-09 00:00:00,click,/cart,session_4934,west
evt000142,89,2023-03-01 00:00:00,login,/cart,session_674,north
evt000143,586,2024-07-23 00:00:00,pageview,/profile,session_3355,south
evt000144,572,2024-08-22 00:00:00,search,/checkout,session_2541,east
evt000145,212,2024-08-08 00:00:00,add_to_cart,/profile,session_4276,west
evt000146,863,2023-10-04 00:00:00,purchase,/profile,session_4249,east
evt000147,862,2024-01-07 00:00:00,search,/products,session_242,south
evt000148,870,2023-02-08 00:00:00,add_to_cart,/cart,session_3155,west
evt000149,739,2023-08-20 00:00:00,search,/cart,session_1772,north
evt000150,802,2024-04-18 00:00:00,purchase,/profile,session_1585,east
evt000151,909,2023-02-01 00:00:00,click,/cart,session_2347,east
evt000152,550,2024-06-17 00:00:00,login,/products,session_1487,north
evt000153,857,2024-08-21 00:00:00,search,/checkout,session_659,east
evt000154,176,2023-08-08 00:00:00,click,/profile,session_4513,east
evt000155,608,2024-04-13 00:00:00,add_to_cart,/home,session_2169,west
evt000156,228,2024-12-28 00:00:00,purchase,/products,session_3396,south
evt000157,350,2023-07-02 00:00:00,purchase,/profile,session_3899,south
evt000158,676,2023-07-16 00:00:00,search,/products,session_2997,east
evt000159,659,2023-09-29 00:00:00,search,/cart,session_2740,west
evt000160,462,2024-12-25 00:00:00,purchase,/profile,session_2935,east
evt000161,291,2024-05-04 00:00:00,click,/cart,session_4323,east
evt000162,797,2023-02-08 00:00:00,purchase,/cart,session_2209,east
evt000163,363,2023-04-28 00:00:00,login,/cart,session_2160,south
evt000164,314,2023-07-10 00:00:00,add_to_cart,/home,session_2556,south
evt000165,407,2024-06-02 00:00:00,login,/cart,session_1754,south
evt000166,976,2023-10-20 00:00:00,search,/home,session_1075,east
evt000167,814,2024-01-19 00:00:00,login,/products,session_4459,east
evt000168,976,2024-12-31 00:00:00,pageview,/checkout,session_2933,east
evt000169,105,2024-06-06 00:00:00,pageview,/cart,session_2445,south
evt000170,6,2023-08-26 00:00:00,pageview,/profile,session_3768,west
evt000171,810,2024-04-20 00:00:00,purchase,/products,session_3623,west
evt000172,132,2024-10-29 00:00:00,search,/home,session_1367,north
evt000173,402,2024-12-01 00:00:00,search,/profile,session_1881,west
evt000174,695,2024-06-01 00:00:00,pageview,/cart,session_2489,north
evt000175,322,2024-11-30 00:00:00,add_to_cart,/home,session_1030,south
evt000176,965,2024-03-03 00:00:00,purchase,/profile,session_1997,north
evt000177,946,2024-11-24 00:00:00,purchase,/home,session_2100,west
evt000178,216,2023-01-24 00:00:00,login,/checkout,session_1715,south
evt000179,134,2024-05-20 00:00:00,add_to_cart,/home,session_3328,north
evt000180,196,2024-08-07 00:00:00,add_to_cart,/cart,session_2252,south
evt000181,859,2024-07-02 00:00:00,purchase,/home,session_202,south
evt000182,12,2023-11-20 00:00:00,purchase,/checkout,session_4028,west
evt000183,165,2024-08-16 00:00:00,login,/products,session_3302,west
evt000184,575,2023-07-15 00:00:00,pageview,/profile,session_3564,west
evt000185,814,2023-11-06 00:00:00,search,/checkout,session_1157,east
evt000186,816,2023-09-14 00:00:00,login,/checkout,session_2902,east
evt000187,386,2024-05-25 00:00:00,click,/cart,session_164,north
evt000188,117,2023-06-03 00:00:00,search,/home,session_27,north
evt000189,793,2024-06-19 00:00:00,add_to_cart,/profile,session_1854,north
evt000190,361,2023-06-20 00:00:00,click,/profile,session_1301,north
evt000191,995,2024-01-31 00:00:00,pageview,/checkout,session_3380,west
evt000192,628,2024-05-27 00:00:00,add_to_cart,/products,session_4501,north
evt000193,733,2024-01-05 00:00:00,search,/home,session_4796,south
evt000194,683,2024-10-04 00:00:00,purchase,/cart,session_2156,east
evt000195,902,2023-12-08 00:00:00,login,/products,session_1597,south
evt000196,897,2023-12-05 00:00:00,search,/checkout,session_4804,east
evt000197,844,2023-09-30 00:00:00,add_to_cart,/cart,session_1878,west
evt000198,505,2023-08-28 00:00:00,search,/profile,session_693,south
evt000199,14,2024-11-28 00:00:00,pageview,/home,session_165,south
evt000200,669,2024-10-22 00:00:00,click,/home,session_498,south
evt000201,884,2024-10-01 00:00:00,search,/home,session_3159,north
evt000202,778,2023-10-26 00:00:00,login,/checkout,session_907,south
evt000203,44,2023-12-12 00:00:00,search,/profile,session_1891,south
evt000204,126,2024-06-14 00:00:00,purchase,/profile,session_3493,north
evt000205,562,2023-06-02 00:00:00,search,/home,session_4397,east
evt000206,441,2024-09-09 00:00:00,purchase,/checkout,session_315,west
evt000207,300,2023-08-04 00:00:00,login,/cart,session_3843,east
evt000208,920,2024-11-10 00:00:00,login,/checkout,session_1448,east
evt000209,835,2023-10-15 00:00:00,pageview,/products,session_1636,west
evt000210,444,2024-01-12 00:00:00,purchase,/products,session_4960,south
evt000211,264,2024-07-26 00:00:00,click,/profile,session_256,south
evt000212,948,2023-02-10 00:00:00,add_to_cart,/cart,session_918,south
evt000213,134,2024-05-15 00:00:00,search,/products,session_132,north
evt000214,498,2024-07-04 00:00:00,search,/checkout,session_2685,west
evt000215,631,2023-10-26 00:00:00,add_to_cart,/products,session_4062,east
evt000216,665,2023-04-03 00:00:00,login,/profile,session_247,north
evt000217,352,2024-08-31 00:00:00,pageview,/home,session_799,west
evt000218,325,2023-02-01 00:00:00,pageview,/cart,session_4530,west
evt000219,89,2024-01-31 00:00:00,login,/cart,session_2083,north
evt000220,764,2024-02-27 00:00:00,click,/products,session_4051,west
evt000221,977,2024-06-07 00:00:00,add_to_cart,/checkout,session_1883,west
evt000222,375,2024-10-29 00:00:00,click,/checkout,session_260,north
evt000223,542,2024-11-22 00:00:00,add_to_cart,/products,session_4187,north
evt000224,397,2023-03-01 00:00:00,search,/products,session_2053,west
evt000225,963,2024-03-29 00:00:00,login,/profile,session_2203,north
evt000226,819,2024-06-24 00:00:00,click,/products,session_4019,south
evt000227,631,2023-10-04 00:00:00,purchase,/cart,session_228,east
evt000228,810,2024-09-29 00:00:00,click,/profile,session_4483,west
evt000229,37,2023-06-12 00:00:00,pageview,/home,session_2563,south
evt000230,110,2024-07-21 00:00:00,search,/profile,session_73,north
evt000231,963,2023-06-30 00:00:00,pageview,/home,session_3094,north
evt000232,14,2023-05-25 00:00:00,search,/checkout,session_3135,south
evt000233,259,2024-01-22 00:00:00,pageview,/profile,session_3675,north
evt000234,465,2023-10-13 00:00:00,search,/products,session_901,south
evt000235,673,2023-12-09 00:00:00,pageview,/checkout,session_785,south
evt000236,853,2024-07-22 00:00:00,login,/checkout,session_3701,west
evt000237,455,2023-12-17 00:00:00,purchase,/profile,session_4709,north
evt000238,212,2024-01-14 00:00:00,pageview,/cart,session_40,west
evt000239,427,2024-10-18 00:00:00,login,/cart,session_1718,south
evt000240,276,2024-06-05 00:00:00,pageview,/home,session_3193,south
evt000241,922,2023-07-16 00:00:00,search,/cart,session_3885,west
evt000242,514,2024-11-21 00:00:00,pageview,/checkout,session_1003,south
evt000243,481,2023-10-25 00:00:00,login,/home,session_2074,west
evt000244,690,2024-01-09 00:00:00,search,/checkout,session_2575,west
evt000245,674,2024-12-27 00:00:00,pageview,/cart,session_2347,east
evt000246,134,2023-12-02 00:00:00,pageview,/home,session_2282,north
evt000247,582,2024-06-14 00:00:00,pageview,/cart,session_604,north
evt000248,138,2023-01-06 00:00:00,click,/products,session_4837,north
evt000249,24,2023-08-08 00:00:00,purchase,/profile,session_953,south
evt000250,231,2023-01-22 00:00:00,purchase,/profile,session_4314,south
evt000251,824,2023-10-07 00:00:00,add_to_cart,/profile,session_255,south
evt000252,151,2024-11-02 00:00:00,search,/products,session_878,north
evt000253,653,2024-09-04 00:00:00,purchase,/products,session_330,south
evt000254,502,2024-05-01 00:00:00,search,/products,session_3467,south
evt000255,205,2023-02-15 00:00:00,search,/home,session_3567,west
evt000256,925,2024-03-19 00:00:00,click,/products,session_2151,west
evt000257,156,2024-09-21 00:00:00,pageview,/home,session_3663,south
evt000258,902,2023-09-25 00:00:00,add_to_cart,/products,session_1164,south
evt000259,186,2024-12-11 00:00:00,login,/cart,session_4790,west
evt000260,8,2024-07-02 00:00:00,click,/home,session_3032,north
evt000261,237,2023-07-16 00:00:00,click,/cart,session_3432,north
evt000262,931,2023-01-10 00:00:00,pageview,/cart,session_3735,west
evt000263,437,2023-03-04 00:00:00,pageview,/cart,session_3095,north
evt000264,282,2024-06-02 00:00:00,search,/products,session_3975,east
evt000265,455,2024-01-01 00:00:00,search,/products,session_4485,north
evt000266,704,2024-08-25 00:00:00,login,/profile,session_129,east
evt000267,137,2024-01-06 00:00:00,pageview,/cart,session_1564,north
evt000268,47,2024-02-01 00:00:00,pageview,/checkout,session_295,west
evt000269,75,2023-06-05 00:00:00,pageview,/products,session_3956,west
evt000270,600,2024-08-11 00:00:00,login,/profile,session_3645,east
evt000271,663,2024-10-26 00:00:00,click,/products,session_1708,south
evt000272,68,2023-09-01 00:00:00,login,/home,session_1012,west
evt000273,23,2024-03-23 00:00:00,add_to_cart,/checkout,session_4833,south
evt000274,879,2023-04-27 00:00:00,login,/cart,session_2820,east
evt000275,44,2024-02-23 00:00:00,add_to_cart,/checkout,session_845,south
evt000276,800,2024-07-17 00:00:00,purchase,/home,session_1284,east
evt000277,496,2023-02-08 00:00:00,login,/cart,session_4177,east
evt000278,172,2023-05-22 00:00:00,pageview,/cart,session_4575,south
evt000279,234,2023-02-27 00:00:00,search,/products,session_1895,south
evt000280,582,2024-05-01 00:00:00,click,/products,session_1441,north
evt000281,499,2024-03-20 00:00:00,purchase,/products,session_385,east
evt000282,947,2023-06-17 00:00:00,purchase,/products,session_3451,south
evt000283,700,2024-01-02 00:00:00,purchase,/products,session_2339,west
evt000284,59,2023-09-14 00:00:00,search,/home,session_2211,east
evt000285,272,2023-01-14 00:00:00,purchase,/cart,session_2341,east
evt000286,312,2023-06-22 00:00:00,purchase,/checkout,session_2429,south
evt000287,213,2024-05-08 00:00:00,pageview,/cart,session_4205,north
evt000288,32,2024-01-13 00:00:00,login,/products,session_411,west
evt000289,570,2023-10-15 00:00:00,add_to_cart,/profile,session_2617,north
evt000290,432,2024-07-03 00:00:00,search,/cart,session_760,south
evt000291,382,2024-02-23 00:00:00,purchase,/cart,session_2820,south
evt000292,171,2023-09-24 00:00:00,add_to_cart,/profile,session_286,south
evt000293,264,2023-03-26 00:00:00,search,/products,session_3642,south
evt000294,318,2024-05-22 00:00:00,pageview,/cart,session_1993,north
evt000295,592,2024-03-02 00:00:00,search,/checkout,session_4070,south
evt000296,402,2023-08-31 00:00:00,login,/cart,session_3995,west
evt000297,937,2024-02-19 00:00:00,add_to_cart,/products,session_1975,north
evt000298,914,2024-05-02 00:00:00,login,/profile,session_2772,west
evt000299,641,2024-10-08 00:00:00,click,/home,session_1452,south
evt000300,367,2023-04-08 00:00:00,purchase,/cart,session_2724,east
evt000301,206,2023-01-21 00:00:00,purchase,/home,session_2624,west
evt000302,925,2023-12-05 00:00:00,click,/profile,session_1467,west
evt000303,966,2023-01-29 00:00:00,login,/cart,session_3235,west
evt000304,954,2024-12-27 00:00:00,pageview,/home,session_276,west
evt000305,379,2023-01-03 00:00:00,search,/products,session_1483,west
evt000306,438,2024-05-24 00:00:00,purchase,/products,session_3819,north
evt000307,719,2024-08-06 00:00:00,pageview,/checkout,session_3346,north
evt000308,217,2024-01-12 00:00:00,search,/checkout,session_3719,north
evt000309,677,2023-03-27 00:00:00,add_to_cart,/profile,session_1370,west
evt000310,338,2023-06-24 00:00:00,add_to_cart,/profile,session_457,east
evt000311,475,2023-09-09 00:00:00,add_to_cart,/home,session_2018,west
evt000312,930,2024-05-15 00:00:00,login,/profile,session_3070,east
evt000313,65,2023-05-06 00:00:00,pageview,/products,session_384,west
evt000314,354,2024-10-14 00:00:00,search,/profile,session_2422,west
evt000315,39,2024-01-04 00:00:00,purchase,/cart,session_941,west
evt000316,365,2023-02-05 00:00:00,login,/checkout,session_3918,north
evt000317,446,2024-10-23 00:00:00,add_to_cart,/cart,session_2777,west
evt000318,367,2024-10-17 00:00:00,purchase,/home,session_2630,east
evt000319,643,2024-07-29 00:00:00,purchase,/profile,session_989,south
evt000320,122,2024-10-09 00:00:00,login,/home,session_1128,south
evt000321,544,2023-08-17 00:00:00,pageview,/home,session_1321,east
evt000322,746,2023-05-15 00:00:00,pageview,/products,session_2136,east
evt000323,958,2023-10-09 00:00:00,pageview,/home,session_2503,south
evt000324,609,2023-07-18 00:00:00,add_to_cart,/checkout,session_4093,north
evt000325,808,2023-09-05 00:00:00,search,/checkout,session_652,north
evt000326,676,2024-08-04 00:00:00,pageview,/checkout,session_4350,east
evt000327,920,2023-02-07 00:00:00,login,/products,session_4820,east
evt000328,276,2023-08-18 00:00:00,purchase,/products,session_3712,south
evt000329,468,2024-04-26 00:00:00,purchase,/profile,session_1763,east
evt000330,461,2024-06-09 00:00:00,search,/products,session_2718,south
evt000331,35,2023-02-27 00:00:00,login,/checkout,session_4191,south
evt000332,506,2023-07-16 00:00:00,add_to_cart,/products,session_139,north
evt000333,897,2023-01-03 00:00:00,add_to_cart,/checkout,session_3086,east
evt000334,44,2023-10-05 00:00:00,search,/cart,session_321,south
evt000335,6,2024-10-03 00:00:00,add_to_cart,/home,session_2063,west
evt000336,609,2024-10-17 00:00:00,click,/products,session_2163,north
evt000337,989,2023-09-14 00:00:00,add_to_cart,/home,session_1995,west
evt000338,74,2023-04-21 00:00:00,pageview,/checkout,session_2672,west
evt000339,381,2024-07-19 00:00:00,search,/home,session_2606,west
evt000340,960,2023-11-09 00:00:00,search,/checkout,session_552,north
evt000341,793,2024-04-13 00:00:00,purchase,/profile,session_1348,north
evt000342,2,2023-06-07 00:00:00,login,/products,session_4541,south
evt000343,778,2024-12-17 00:00:00,purchase,/products,session_2945,south
evt000344,499,2024-05-04 00:00:00,add_to_cart,/products,session_743,east
evt000345,928,2024-09-03 00:00:00,search,/cart,session_2197,east
evt000346,284,2024-05-22 00:00:00,login,/products,session_635,west
evt000347,477,2024-04-13 00:00:00,login,/cart,session_2708,north
evt000348,828,2023-03-20 00:00:00,add_to_cart,/cart,session_4221,east
evt000349,36,2023-01-14 00:00:00,pageview,/checkout,session_4389,north
evt000350,799,2023-05-06 00:00:00,purchase,/cart,session_2617,west
evt000351,160,2024-05-11 00:00:00,add_to_cart,/cart,session_3152,north
evt000352,159,2023-06-30 00:00:00,search,/profile,session_1780,south
evt000353,90,2024-10-12 00:00:00,add_to_cart,/profile,session_4078,south
evt000354,292,2024-03-07 00:00:00,purchase,/cart,session_4973,south
evt000355,487,2024-09-25 00:00:00,purchase,/cart,session_3065,south
evt000356,919,2024-12-16 00:00:00,purchase,/cart,session_2250,south
evt000357,930,2024-07-16 00:00:00,search,/profile,session_822,east
evt000358,625,2023-01-17 00:00:00,search,/home,session_2804,east
evt000359,33,2023-10-04 00:00:00,login,/products,session_1601,west
evt000360,44,2024-03-04 00:00:00,search,/products,session_3285,south
evt000361,737,2024-12-04 00:00:00,pageview,/home,session_197,east
evt000362,677,2023-08-26 00:00:00,pageview,/products,session_3339,west
evt000363,856,2024-11-10 00:00:00,search,/profile,session_1589,south
evt000364,497,2023-01-28 00:00:00,purchase,/products,session_1478,east
evt000365,911,2023-08-12 00:00:00,login,/cart,session_4871,west
evt000366,419,2024-05-10 00:00:00,add_to_cart,/profile,session_2040,west
evt000367,112,2024-12-14 00:00:00,search,/products,session_17,north
evt000368,815,2023-10-12 00:00:00,login,/cart,session_4609,north
evt000369,155,2023-03-31 00:00:00,pageview,/profile,session_1892,east
evt000370,359,2024-09-14 00:00:00,login,/home,session_2399,north
evt000371,570,2023-10-05 00:00:00,click,/cart,session_1406,north
evt000372,448,2023-06-18 00:00:00,login,/home,session_107,south
evt000373,458,2023-09-22 00:00:00,login,/checkout,session_2255,north
evt000374,771,2023-09-03 00:00:00,search,/profile,session_27,east
evt000375,674,2023-12-02 00:00:00,click,/checkout,session_660,east
evt000376,331,2024-05-12 00:00:00,add_to_cart,/profile,session_2619,west
evt000377,334,2024-11-18 00:00:00,login,/products,session_2326,north
evt000378,846,2023-06-18 00:00:00,add_to_cart,/home,session_3826,west
evt000379,589,2023-05-28 00:00:00,search,/cart,session_298,west
evt000380,68,2023-02-03 00:00:00,click,/home,session_1887,west
evt000381,785,2024-10-30 00:00:00,search,/products,session_1798,west
evt000382,206,2023-02-13 00:00:00,add_to_cart,/checkout,session_3012,west
evt000383,718,2023-09-10 00:00:00,click,/profile,session_2227,east
evt000384,107,2023-09-03 00:00:00,pageview,/profile,session_1085,east
evt000385,127,2024-11-12 00:00:00,add_to_cart,/checkout,session_1011,south
evt000386,754,2023-08-26 00:00:00,pageview,/cart,session_46,east
evt000387,194,2024-09-04 00:00:00,purchase,/checkout,session_4010,west
evt000388,636,2023-01-20 00:00:00,add_to_cart,/cart,session_4068,south
evt000389,122,2023-05-05 00:00:00,purchase,/home,session_1754,south
evt000390,766,2024-07-09 00:00:00,purchase,/cart,session_890,east
evt000391,376,2023-08-28 00:00:00,pageview,/products,session_4737,west
evt000392,357,2024-10-23 00:00:00,pageview,/products,session_4288,south
evt000393,651,2023-08-29 00:00:00,login,/products,session_4947,west
evt000394,142,2024-06-17 00:00:00,click,/home,session_4962,east
evt000395,926,2023-07-14 00:00:00,pageview,/checkout,session_4126,south
evt000396,686,2024-02-04 00:00:00,add_to_cart,/home,session_458,south
evt000397,712,2024-02-19 00:00:00,search,/home,session_3394,north
evt000398,266,2024-08-18 00:00:00,click,/profile,session_3740,north
evt000399,585,2024-04-17 00:00:00,search,/profile,session_3920,south
evt000400,725,2024-06-21 00:00:00,pageview,/profile,session_363,east
evt000401,431,2024-07-26 00:00:00,login,/products,session_4822,west
evt000402,939,2024-02-15 00:00:00,login,/checkout,session_122,west
evt000403,33,2024-08-01 00:00:00,add_to_cart,/profile,session_4457,west
evt000404,99,2023-08-13 00:00:00,purchase,/home,session_3288,east
evt000405,711,2023-02-18 00:00:00,purchase,/profile,session_376,south
evt000406,777,2023-05-10 00:00:00,add_to_cart,/checkout,session_1848,west
evt000407,750,2023-01-21 00:00:00,add_to_cart,/profile,session_1730,north
evt000408,866,2023-07-03 00:00:00,click,/profile,session_1529,south
