order_id,customer_id,product_id,order_date,quantity,unit_price,total_amount,status,region,salesperson_id
71,44,58,2024-05-12,9,366.97,3302.73,delivered,south,8
72,536,150,2023-07-21,1,172.99,172.99,returned,west,14
73,84,14,2024-07-12,10,426.54,4265.4,returned,north,18
74,289,62,2023-12-05,7,60.04,420.28,cancelled,east,6
75,911,176,2024-12-11,10,212.16,2121.6,pending,west,8
76,770,144,2023-02-20,2,465.21,930.42,delivered,north,7
77,199,29,2023-06-08,6,108.79,652.74,returned,north,12
78,91,115,2023-05-09,9,150.91,1358.19,delivered,north,9
79,624,56,2023-06-03,8,354.56,2836.48,pending,south,3
80,323,16,2023-10-27,6,469.4,2816.4,shipped,south,15
81,995,84,2024-10-08,9,135.58,1220.22,pending,west,3
82,764,187,2023-08-06,7,33.0,231.0,shipped,west,14
83,866,139,2024-01-28,5,292.46,1462.3,returned,south,11
84,785,138,2023-08-14,8,311.0,2488.0,returned,west,16
85,979,108,2023-05-31,8,95.49,763.92,pending,north,14
86,865,182,2023-09-30,3,37.55,112.65,delivered,south,2
87,41,45,2024-04-02,6,361.8,2170.8,delivered,west,11
88,279,171,2024-03-19,3,234.16,702.48,returned,west,16
89,206,121,2023-12-27,6,323.23,1939.38,shipped,west,18
90,714,106,2023-04-30,6,438.33,2629.98,cancelled,south,10
91,184,11,2023-05-18,5,255.6,1278.0,delivered,west,17
92,962,42,2023-10-23,9,342.82,3085.38,cancelled,north,10
93,372,135,2023-05-12,3,23.85,71.55,cancelled,south,13
94,960,67,2024-01-04,2,388.51,777.02,returned,north,15
95,761,188,2023-11-01,10,413.09,4130.9,cancelled,east,20
96,381,147,2023-09-02,8,247.96,1983.68,delivered,west,8
97,304,179,2023-02-15,3,302.23,906.69,cancelled,east,19
98,620,84,2023-11-09,5,135.58,677.9,delivered,south,6
99,631,53,2024-04-09,8,382.8,3062.4,cancelled,east,17
100,419,196,2023-04-26,10,83.51,835.1,pending,west,3
101,675,71,2024-11-22,3,276.44,829.32,returned,west,4
102,737,198,2024-12-22,6,368.18,2209.08,returned,east,3
103,50,16,2024-05-20,5,469.4,2347.0,cancelled,north,4
104,460,50,2024-04-22,5,258.01,1290.05,returned,east,6
105,109,145,2024-03-04,8,410.78,3286.24,cancelled,north,3
106,994,169,2024-01-24,3,154.45,463.35,delivered,north,2
107,450,185,2023-12-06,9,391.66,3524.94,returned,north,14
108,807,114,2024-08-28,10,258.42,2584.2,pending,west,8
109,847,127,2024-09-24,9,456.66,4109.94,delivered,north,18
110,196,159,2024-04-09,8,315.25,2522.0,returned,south,12
111,939,16,2023-10-03,5,469.4,2347.0,returned,west,3
112,437,17,2024-04-29,6,384.38,2306.28,cancelled,north,5
113,352,130,2023-02-23,4,36.43,145.72,cancelled,west,5
114,453,168,2023-02-15,10,483.63,4836.3,returned,west,19
115,959,48,2023-01-26,6,20.02,120.12,returned,east,17
116,622,172,2023-02-15,9,416.54,3748.86,pending,north,12
117,542,163,2023-10-10,9,224.78,2023.02,pending,north,20
118,385,79,2024-10-01,2,219.9,439.8,cancelled,south,13
119,33,57,2023-09-06,4,484.98,1939.92,pending,west,20
120,473,106,2024-10-21,5,438.33,2191.65,pending,north,11
121,794,89,2023-09-08,2,236.91,473.82,cancelled,south,20
122,155,52,2024-08-11,10,106.26,1062.6,cancelled,east,13
123,381,50,2024-11-10,1,258.01,258.01,pending,west,18
124,35,164,2024-08-01,9,187.69,1689.21,cancelled,south,14
125,275,5,2024-01-29,10,173.19,1731.9,pending,south,3
126,247,199,2024-10-10,6,456.57,2739.42,returned,north,8
127,651,137,2023-04-27,5,372.41,1862.05,returned,west,15
128,90,73,2023-08-09,1,185.56,185.56,shipped,south,17
129,238,147,2023-12-16,3,247.96,743.88,cancelled,north,17
130,435,3,2024-09-18,4,399.54,1598.16,pending,west,19
131,829,127,2023-08-03,1,456.66,456.66,returned,south,17
132,789,118,2023-03-13,1,295.64,295.64,delivered,north,3
133,69,7,2023-07-12,5,419.41,2097.05,cancelled,east,5
134,292,163,2024-01-26,9,224.78,2023.02,delivered,south,8
135,343,81,2023-08-16,2,247.29,494.58,delivered,south,6
136,119,114,2023-05-01,9,258.42,2325.78,delivered,west,11
137,631,102,2023-01-18,3,79.65,238.95,pending,east,20
138,707,174,2023-07-09,7,260.21,1821.47,returned,south,11
139,590,16,2023-05-22,6,469.4,2816.4,returned,west,16
140,140,49,2024-01-05,2,425.96,851.92,delivered,west,3
141,830,125,2024-03-11,9,347.46,3127.14,pending,east,20
142,429,19,2024-09-13,10,106.14,1061.4,delivered,west,20
143,666,59,2023-11-04,7,291.66,2041.62,returned,east,18
144,373,32,2024-03-14,5,442.45,2212.25,returned,east,7
145,160,120,2023-12-06,1,276.88,276.88,cancelled,north,14
146,454,113,2024-04-09,6,353.93,2123.58,cancelled,south,6
147,764,143,2024-09-25,3,448.36,1345.08,delivered,west,15
148,868,135,2023-11-10,8,23.85,190.8,delivered,south,19
149,866,105,2024-03-08,10,182.73,1827.3,pending,south,11
150,397,184,2024-10-22,8,23.62,188.96,cancelled,west,14
151,649,87,2024-05-21,6,170.42,1022.52,pending,west,15
152,212,85,2023-06-07,7,347.05,2429.35,delivered,west,17
153,524,1,2023-10-05,1,118.59,118.59,returned,west,7
154,859,58,2024-03-22,8,366.97,2935.76,shipped,south,12
155,529,144,2024-02-02,7,465.21,3256.47,shipped,south,4
156,40,172,2023-10-27,4,416.54,1666.16,shipped,east,2
157,806,82,2024-02-07,1,279.55,279.55,delivered,west,6
158,674,192,2024-08-18,10,356.5,3565.0,cancelled,east,18
159,887,172,2023-10-21,6,416.54,2499.24,delivered,west,8
160,348,32,2023-08-18,1,442.45,442.45,pending,east,16
161,221,36,2023-01-04,4,294.77,1179.08,returned,east,14
162,954,58,2023-01-13,2,366.97,733.94,pending,west,3
163,70,97,2023-12-21,8,43.86,350.88,shipped,south,5
164,401,3,2024-06-20,4,399.54,1598.16,returned,east,17
165,900,27,2024-11-20,5,320.17,1600.85,returned,north,13
166,57,23,2024-08-16,2,138.0,276.0,shipped,south,19
167,730,28,2024-03-11,7,171.79,1202.53,pending,south,10
168,121,9,2023-05-12,8,246.83,1974.64,delivered,east,19
169,128,190,2023-07-16,4,30.35,121.4,cancelled,east,20
170,184,149,2024-07-26,5,435.5,2177.5,cancelled,west,15
171,962,54,2023-01-07,8,281.09,2248.72,delivered,north,6
172,394,129,2024-09-08,4,408.98,1635.92,returned,west,11
173,201,61,2024-06-08,3,356.73,1070.19,delivered,south,4
174,86,95,2024-12-15,2,133.76,267.52,pending,west,9
175,538,62,2023-06-05,9,60.04,540.36,returned,west,7
176,445,64,2024-05-28,2,308.24,616.48,returned,west,3
177,311,195,2023-07-18,10,266.88,2668.8,delivered,east,1
178,664,155,2023-05-23,10,485.74,4857.4,pending,north,16
179,396,56,2023-11-10,10,354.56,3545.6,delivered,south,4
180,729,153,2023-10-14,2,420.11,840.22,delivered,west,20
181,834,56,2023-01-19,2,354.56,709.12,cancelled,south,9
182,27,159,2024-08-13,8,315.25,2522.0,shipped,west,1
183,105,170,2024-04-09,7,395.06,2765.42,shipped,south,14
184,763,75,2023-01-21,4,222.83,891.32,returned,north,13
185,967,26,2023-04-26,9,418.35,3765.15,delivered,south,14
186,756,30,2024-07-20,7,49.87,349.09,returned,east,11
187,939,20,2024-09-08,10,296.07,2960.7,delivered,west,13
188,846,20,2023-03-06,9,296.07,2664.63,pending,west,19
189,190,29,2023-07-26,4,108.79,435.16,cancelled,east,15
190,938,118,2024-05-14,9,295.64,2660.76,shipped,south,15
191,876,61,2024-05-11,9,356.73,3210.57,cancelled,east,5
192,309,196,2024-01-03,9,83.51,751.59,pending,west,13
193,553,191,2023-04-09,6,41.77,250.62,pending,east,6
194,593,100,2024-08-08,4,207.33,829.32,shipped,west,10
195,616,70,2024-07-08,10,442.97,4429.7,pending,east,10
196,236,78,2024-11-27,3,144.29,432.87,pending,north,19
197,313,140,2023-01-30,2,160.52,321.04,delivered,west,19
198,24,5,2024-06-26,9,173.19,1558.71,shipped,south,15
199,351,29,2023-09-10,9,108.79,979.11,delivered,north,4
200,963,75,2023-12-10,1,222.83,222.83,pending,north,18
201,77,30,2024-07-18,5,49.87,249.35,shipped,north,16
202,331,132,2023-06-11,1,117.24,117.24,delivered,west,12
203,438,104,2024-12-02,8,339.7,2717.6,cancelled,north,6
204,745,133,2024-01-28,5,384.0,1920.0,shipped,south,5
205,470,34,2024-07-20,9,159.27,1433.43,returned,east,19
206,803,145,2024-02-05,3,410.78,1232.34,cancelled,west,17
207,653,152,2023-09-26,7,27.78,194.46,cancelled,south,19
208,503,95,2024-03-16,1,133.76,133.76,cancelled,west,3
209,25,123,2024-11-06,6,70.25,421.5,shipped,south,7
210,12,3,2023-10-02,6,399.54,2397.24,pending,west,1
211,583,17,2023-10-09,5,384.38,1921.9,delivered,south,17
212,150,60,2024-05-21,5,353.26,1766.3,returned,south,19
213,673,101,2024-08-27,1,194.06,194.06,shipped,south,10
214,942,65,2023-10-18,1,163.96,163.96,cancelled,west,5
215,237,31,2024-08-17,2,383.78,767.56,shipped,north,3
216,948,73,2023-07-04,2,185.56,371.12,shipped,south,20
217,319,67,2023-12-13,5,388.51,1942.55,returned,east,12
218,210,15,2024-11-22,8,85.78,686.24,returned,west,2
219,571,53,2023-03-05,3,382.8,1148.4,returned,north,11
220,244,4,2023-12-24,1,22.21,22.21,returned,west,18
221,687,171,2024-01-12,9,234.16,2107.44,cancelled,north,18
222,281,142,2023-05-03,10,433.95,4339.5,shipped,south,14
223,844,160,2023-06-05,3,298.87,896.61,cancelled,west,11
224,686,140,2023-01-16,10,160.52,1605.2,delivered,south,14
225,438,108,2023-07-03,1,95.49,95.49,pending,north,18
226,267,198,2023-06-24,1,368.18,368.18,cancelled,south,18
227,59,107,2024-06-23,8,347.42,2779.36,pending,east,1
228,77,52,2023-04-04,10,106.26,1062.6,returned,north,5
229,829,25,2023-08-07,2,399.68,799.36,delivered,south,11
230,948,43,2023-07-27,4,353.53,1414.12,delivered,south,6
231,235,32,2023-04-08,9,442.45,3982.05,returned,east,7
232,333,39,2023-05-08,10,287.11,2871.1,returned,north,18
233,41,180,2024-06-29,5,332.71,1663.55,delivered,west,7
234,892,143,2024-03-28,5,448.36,2241.8,returned,south,11
235,124,1,2024-02-25,5,118.59,592.95,returned,west,17
236,802,31,2023-01-10,4,383.78,1535.12,pending,east,4
237,82,21,2023-07-12,3,58.4,175.2,shipped,west,12
238,793,73,2024-09-15,6,185.56,1113.36,delivered,north,11
239,980,130,2023-04-08,4,36.43,145.72,delivered,east,11
240,253,12,2023-10-24,4,343.02,1372.08,cancelled,west,7
241,987,173,2024-09-10,1,298.35,298.35,delivered,south,16
242,237,129,2024-03-16,4,408.98,1635.92,shipped,north,3
243,306,109,2023-03-24,5,268.97,1344.85,returned,east,14
244,868,41,2024-12-11,6,63.85,383.1,pending,south,4
245,240,42,2024-06-03,2,342.82,685.64,delivered,west,7
246,416,97,2024-04-15,7,43.86,307.02,shipped,east,8
247,138,171,2024-06-12,6,234.16,1404.96,cancelled,north,6
248,465,146,2024-12-27,3,125.41,376.23,cancelled,south,13
249,557,185,2023-07-09,8,391.66,3133.28,pending,east,20
250,386,92,2024-09-01,3,179.42,538.26,shipped,north,19
251,453,134,2024-11-18,3,134.24,402.72,delivered,west,11
252,82,104,2023-02-20,9,339.7,3057.3,returned,west,8
253,36,10,2023-12-30,10,148.99,1489.9,shipped,north,9
254,888,183,2023-05-08,6,484.33,2905.98,returned,north,18
255,598,137,2023-11-27,8,372.41,2979.28,cancelled,east,7
256,399,150,2023-06-21,6,172.99,1037.94,shipped,south,18
257,22,183,2024-09-09,4,484.33,1937.32,cancelled,east,12
258,82,3,2024-02-13,6,399.54,2397.24,pending,west,2
259,381,42,2023-01-07,6,342.82,2056.92,pending,west,13
260,767,47,2024-07-10,5,281.09,1405.45,delivered,east,11
261,861,122,2024-09-06,10,125.78,1257.8,delivered,west,18
262,505,84,2024-11-09,9,135.58,1220.22,delivered,south,7
263,946,178,2024-01-19,7,311.19,2178.33,returned,west,12
264,35,58,2023-01-10,5,366.97,1834.85,shipped,south,17
265,741,100,2024-02-04,7,207.33,1451.31,cancelled,west,20
266,300,63,2024-05-03,4,262.26,1049.04,delivered,east,1
267,479,197,2023-08-13,10,467.3,4673.0,delivered,east,20
268,403,22,2023-04-05,8,119.33,954.64,returned,east,9
269,372,25,2024-01-12,8,399.68,3197.44,returned,south,5
270,314,85,2024-12-08,7,347.05,2429.35,pending,south,20
271,278,198,2024-04-16,4,368.18,1472.72,returned,south,1
272,960,111,2023-08-13,10,149.1,1491.0,pending,north,10
273,459,116,2023-11-07,8,120.55,964.4,shipped,west,1
274,842,20,2023-01-28,9,296.07,2664.63,shipped,east,17
275,325,197,2023-01-09,9,467.3,4205.7,shipped,west,7
276,942,153,2024-08-05,10,420.11,4201.1,cancelled,west,3
277,219,110,2023-04-23,7,359.3,2515.1,returned,south,15
278,854,96,2023-03-20,2,308.02,616.04,cancelled,east,7
279,947,44,2023-10-20,5,188.04,940.2,cancelled,south,19
280,476,33,2024-09-02,4,242.71,970.84,delivered,north,1
281,875,83,2024-07-26,3,127.24,381.72,cancelled,north,11
282,885,44,2023-03-29,10,188.04,1880.4,delivered,north,1
283,919,144,2023-05-26,4,465.21,1860.84,pending,south,3
284,34,20,2024-05-26,6,296.07,1776.42,shipped,north,7
285,594,3,2024-02-14,4,399.54,1598.16,pending,north,18
286,965,2,2024-07-13,2,459.72,919.44,pending,north,9
287,724,167,2024-03-10,8,196.64,1573.12,cancelled,north,13
288,646,53,2024-02-19,5,382.8,1914.0,delivered,north,20
289,8,47,2024-01-19,1,281.09,281.09,pending,north,17
290,289,33,2024-11-16,9,242.71,2184.39,shipped,east,17
291,466,142,2023-05-04,10,433.95,4339.5,cancelled,west,1
292,509,48,2023-11-14,6,20.02,120.12,delivered,east,11
293,256,107,2023-09-23,3,347.42,1042.26,shipped,east,19
294,377,91,2023-09-10,7,464.08,3248.56,pending,east,15
295,782,45,2023-07-10,6,361.8,2170.8,returned,west,6
296,73,167,2023-07-05,6,196.64,1179.84,delivered,north,14
297,795,155,2023-01-19,3,485.74,1457.22,returned,west,10
298,392,62,2023-09-30,9,60.04,540.36,shipped,west,18
299,95,87,2024-09-18,6,170.42,1022.52,cancelled,north,15
300,966,108,2023-02-19,5,95.49,477.45,cancelled,west,17
301,712,75,2023-01-04,10,222.83,2228.3,cancelled,north,9
302,576,9,2024-05-30,4,246.83,987.32,pending,south,1
303,518,171,2023-07-20,5,234.16,1170.8,pending,south,11
304,283,4,2023-05-24,9,22.21,199.89,returned,south,20
305,541,23,2023-02-16,2,138.0,276.0,cancelled,north,6
306,588,65,2023-05-16,7,163.96,1147.72,cancelled,south,20
307,627,195,2024-10-07,3,266.88,800.64,cancelled,south,20
308,376,35,2024-10-30,6,192.95,1157.7,delivered,west,12
309,63,120,2023-01-14,7,276.88,1938.16,cancelled,north,7
310,165,164,2023-01-01,10,187.69,1876.9,shipped,west,12
311,892,17,2024-06-30,10,384.38,3843.8,cancelled,south,2
312,518,20,2024-02-01,10,296.07,2960.7,shipped,south,8
313,816,22,2023-05-03,8,119.33,954.64,pending,east,2
314,57,195,2024-06-17,10,266.88,2668.8,returned,south,15
315,975,15,2023-05-29,10,85.78,857.8,cancelled,south,1
316,37,44,2024-10-02,8,188.04,1504.32,cancelled,south,7
317,734,68,2024-03-19,1,441.65,441.65,cancelled,north,8
318,953,64,2023-06-16,5,308.24,1541.2,shipped,west,4
319,134,146,2024-12-13,5,125.41,627.05,pending,north,17
320,238,144,2024-11-02,9,465.21,4186.89,delivered,north,9
321,134,57,2023-10-20,10,484.98,4849.8,shipped,north,15
322,381,36,2024-10-11,7,294.77,2063.39,returned,west,2
323,566,62,2023-04-04,4,60.04,240.16,cancelled,south,12
324,855,58,2023-02-28,9,366.97,3302.73,shipped,south,16
325,696,80,2023-12-16,1,399.23,399.23,cancelled,south,17
326,331,139,2023-01-08,4,292.46,1169.84,delivered,west,15
327,101,139,2024-11-24,6,292.46,1754.76,returned,north,17
328,19,137,2024-09-06,3,372.41,1117.23,returned,south,13
329,601,148,2024-04-24,7,36.69,256.83,cancelled,west,10
330,718,157,2023-01-29,9,347.02,3123.18,returned,east,9
331,379,57,2024-07-20,2,484.98,969.96,shipped,west,4
332,725,42,2024-08-04,10,342.82,3428.2,cancelled,east,2
333,910,72,2023-02-21,1,26.18,26.18,delivered,east,8
334,181,110,2024-11-10,3,359.3,1077.9,delivered,north,1
335,789,99,2024-03-02,5,144.66,723.3,returned,north,11
336,157,30,2023-05-30,6,49.87,299.22,delivered,south,4
337,255,18,2023-02-11,4,371.67,1486.68,shipped,west,18
338,717,174,2024-07-15,2,260.21,520.42,cancelled,south,8
339,914,78,2023-02-16,2,144.29,288.58,delivered,west,6
340,584,108,2023-06-11,9,95.49,859.41,returned,west,18
341,866,102,2024-09-23,4,79.65,318.6,pending,south,15
342,809,6,2023-11-24,8,201.19,1609.52,cancelled,west,6
343,379,130,2024-01-19,6,36.43,218.58,delivered,west,1
344,641,55,2023-02-04,1,481.58,481.58,shipped,south,3
345,483,125,2023-04-24,3,347.46,1042.38,returned,east,7
346,332,196,2024-10-02,10,83.51,835.1,returned,south,16
347,96,40,2024-12-26,8,457.15,3657.2,pending,east,9
348,564,142,2024-10-07,7,433.95,3037.65,delivered,west,9
349,213,113,2023-10-15,7,353.93,2477.51,delivered,north,16
350,5,40,2024-03-17,5,457.15,2285.75,returned,north,4
351,300,31,2024-09-19,1,383.78,383.78,shipped,east,10
352,824,5,2024-12-14,7,173.19,1212.33,shipped,south,15
353,544,154,2023-10-02,6,370.83,2224.98,pending,east,9
354,575,44,2024-02-11,9,188.04,1692.36,pending,west,4
355,591,173,2024-12-08,1,298.35,298.35,shipped,south,16
356,638,11,2024-11-30,3,255.6,766.8,shipped,west,9
357,202,183,2024-08-20,10,484.33,4843.3,shipped,east,16
358,775,151,2023-05-03,7,73.07,511.49,cancelled,north,12
359,189,77,2023-03-30,9,291.57,2624.13,cancelled,south,15
360,745,55,2023-05-02,9,481.58,4334.22,returned,south,13
361,996,34,2024-02-19,10,159.27,1592.7,shipped,west,1
362,403,59,2023-05-31,6,291.66,1749.96,cancelled,east,2
363,308,5,2023-04-12,6,173.19,1039.14,delivered,west,5
364,942,38,2024-08-17,4,372.44,1489.76,pending,west,5
365,469,10,2024-03-19,6,148.99,893.94,delivered,north,7
366,65,11,2023-12-15,3,255.6,766.8,returned,west,2
367,892,144,2023-12-20,1,465.21,465.21,returned,south,8
368,36,49,2024-01-31,8,425.96,3407.68,cancelled,north,14
369,368,36,2023-02-12,6,294.77,1768.62,delivered,west,4
370,150,74,2024-07-24,6,127.76,766.56,cancelled,south,10
371,262,9,2024-03-03,2,246.83,493.66,shipped,north,5
372,258,123,2024-08-16,5,70.25,351.25,shipped,east,18
373,473,21,2023-08-17,4,58.4,233.6,delivered,north,6
374,175,145,2024-01-07,4,410.78,1643.12,shipped,south,4
375,632,39,2024-04-17,5,287.11,1435.55,delivered,east,13
376,229,30,2023-05-09,4,49.87,199.48,returned,west,19
377,865,80,2024-05-18,2,399.23,798.46,returned,south,14
378,609,130,2024-11-22,6,36.43,218.58,cancelled,north,2
379,380,7,2023-12-13,4,419.41,1677.64,cancelled,north,4
380,395,4,2024-08-12,1,22.21,22.21,pending,east,20
381,470,69,2024-08-02,2,24.27,48.54,delivered,east,11
382,378,19,2023-11-02,8,106.14,849.12,delivered,north,9
383,122,160,2023-03-10,5,298.87,1494.35,pending,south,18
384,480,73,2023-12-08,10,185.56,1855.6,pending,east,7
385,554,190,2024-11-08,2,30.35,60.7,returned,south,19
386,187,43,2023-12-08,6,353.53,2121.18,cancelled,south,6
387,975,166,2023-10-26,1,386.52,386.52,pending,south,15
388,1000,55,2023-12-21,5,481.58,2407.9,delivered,south,8
389,854,148,2024-08-29,2,36.69,73.38,shipped,east,3
390,815,86,2024-08-13,4,488.89,1955.56,pending,north,19
391,228,96,2024-09-19,3,308.02,924.06,pending,south,17
392,674,30,2023-05-14,7,49.87,349.09,delivered,east,13
393,67,177,2024-12-22,2,397.49,794.98,delivered,south,10
394,805,34,2024-12-28,9,159.27,1433.43,pending,north,16
395,619,188,2023-04-26,9,413.09,3717.81,delivered,east,9
396,842,29,2024-06-10,7,108.79,761.53,cancelled,east,8
397,552,156,2024-05-28,8,289.56,2316.48,delivered,north,7
398,602,28,2024-01-12,9,171.79,1546.11,cancelled,north,4
399,618,186,2023-01-02,4,438.54,1754.16,pending,east,5
400,412,149,2023-05-17,1,435.5,435.5,delivered,east,19
401,884,175,2024-02-04,7,92.54,647.78,delivered,north,7
402,233,89,2023-05-09,9,236.91,2132.19,returned,east,5
403,201,143,2023-07-05,2,448.36,896.72,delivered,south,17
404,343,68,2023-02-22,4,441.65,1766.6,delivered,south,2
405,782,193,2023-01-11,9,426.44,3837.96,pending,west,13
406,54,185,2024-01-09,1,391.66,391.66,pending,east,6
407,666,162,2024-02-22,7,408.14,2856.98,delivered,east,10
408,493,172,2024-07-30,9,416.54,3748.86,shipped,west,8
409,585,32,2023-08-28,8,442.45,3539.6,delivered,south,20
410,14,198,2024-12-13,10,368.18,3681.8,delivered,south,14
411,32,3,2023-10-28,4,399.54,1598.16,cancelled,west,19
412,989,31,2024-08-12,1,383.78,383.78,delivered,west,7
413,556,102,2023-10-21,7,79.65,557.55,returned,south,12
414,283,55,2023-08-29,6,481.58,2889.48,cancelled,south,10
415,643,139,2023-03-05,2,292.46,584.92,delivered,south,15
416,326,35,2024-06-08,7,192.95,1350.65,delivered,west,4
417,388,136,2024-03-24,6,302.09,1812.54,delivered,north,4
418,698,28,2023-01-29,7,171.79,1202.53,pending,north,18
419,275,49,2023-06-30,7,425.96,2981.72,pending,south,4
420,604,131,2023-02-28,8,315.44,2523.52,pending,east,18
421,640,49,2024-11-04,8,425.96,3407.68,cancelled,east,9
422,943,143,2024-03-17,1,448.36,448.36,returned,north,10
423,139,33,2024-01-19,8,242.71,1941.68,delivered,west,15
424,113,82,2024-10-20,3,279.55,838.65,shipped,north,4
425,509,124,2023-08-10,2,492.54,985.08,pending,east,15
426,218,123,2024-10-13,9,70.25,632.25,pending,east,14
427,822,122,2023-06-12,3,125.78,377.34,delivered,north,13
428,521,157,2024-08-14,6,347.02,2082.12,pending,east,7
429,22,190,2023-08-13,1,30.35,30.35,returned,east,20
430,998,16,2023-07-31,3,469.4,1408.2,returned,west,10
431,868,45,2023-01-18,5,361.8,1809.0,pending,south,8
432,434,147,2023-02-25,2,247.96,495.92,cancelled,west,9
433,946,149,2023-08-27,3,435.5,1306.5,cancelled,west,10
434,8,64,2024-10-29,8,308.24,2465.92,shipped,north,6
435,385,64,2024-12-15,5,308.24,1541.2,shipped,south,11
436,265,133,2024-05-13,10,384.0,3840.0,returned,north,20
437,570,99,2024-12-10,8,144.66,1157.28,cancelled,north,5
438,416,164,2023-04-30,9,187.69,1689.21,cancelled,east,7
439,919,195,2024-09-23,6,266.88,1601.28,returned,south,12
440,782,117,2024-03-20,8,369.35,2954.8,returned,west,11
441,433,72,2023-11-26,7,26.18,183.26,returned,south,12
442,882,9,2024-06-16,4,246.83,987.32,shipped,west,15
443,564,61,2024-08-06,8,356.73,2853.84,pending,west,17
